名称,年代,类型,图片,详情
唐四耳陶罐,唐代,陶器,https://www.gdmuseum.com/upload/cn/image/2023-12/1702346119499.jpg,https://www.gdmuseum.com/cn/col49/149289
明万历漳州窑青花朵花纹碟,明万历,瓷器,https://www.gdmuseum.com/upload/cn/image/2023-12/1702345620466.jpg,https://www.gdmuseum.com/cn/col49/149288
"明万历青花折枝花卉纹""木""字大盘",明万历,瓷器,https://www.gdmuseum.com/upload/cn/image/2023-12/1702345545285.jpg,https://www.gdmuseum.com/cn/col49/149287
明万历褐釉堆塑龙纹四系罐,明万历,陶器,https://www.gdmuseum.com/upload/cn/image/2023-12/1702345354865.jpg,https://www.gdmuseum.com/cn/col49/149286
明万历青花丹凤朝阳纹折腰盘,明万历,瓷器,https://www.gdmuseum.com/upload/cn/image/2023-12/1702342593680.jpg,https://www.gdmuseum.com/cn/col49/149285
民国侨批(华侨信件),民国,档案文书,https://www.gdmuseum.com/upload/cn/image/2023-12/1702283709797.jpg,https://www.gdmuseum.com/cn/col49/149284
南宋龙泉釉碗,南宋,瓷器,https://www.gdmuseum.com/upload/cn/image/2023-12/1702280919396.jpg,https://www.gdmuseum.com/cn/col49/149283
南宋菊瓣口绿釉小盘,南宋,瓷器,https://www.gdmuseum.com/upload/cn/image/2023-12/1702280330149.png,https://www.gdmuseum.com/cn/col49/149282
南宋青白釉扁圆小粉盒（带盖）,南宋,瓷器,https://www.gdmuseum.com/upload/cn/image/2023-12/1702279753410.jpg,https://www.gdmuseum.com/cn/col49/149281
南宋八角形小粉盒（带盖）,南宋,瓷器,https://www.gdmuseum.com/upload/cn/image/2023-12/1702279597679.jpg,https://www.gdmuseum.com/cn/col49/149280
南宋菊瓣口绿釉小盘,南宋,瓷器,https://www.gdmuseum.com/upload/cn/image/2023-12/1702279169837.jpg,https://www.gdmuseum.com/cn/col49/149279
南宋青白釉花瓣口浅壁碗,南宋,瓷器,https://www.gdmuseum.com/upload/cn/image/2023-12/1702279032356.jpg,https://www.gdmuseum.com/cn/col49/149278
南朝波斯鎏金器,南朝,铜器,https://www.gdmuseum.com/upload/cn/image/2023-12/1702278538558.jpg,https://www.gdmuseum.com/cn/col49/149277
东汉规矩纹铜镜,东汉,铜器,https://www.gdmuseum.com/upload/cn/image/2023-12/1702278122142.jpg,https://www.gdmuseum.com/cn/col49/149276
玉玦,西周中晚期,玉石器、宝石,https://www.gdmuseum.com/upload/cn/image/2023-12/1702277959074.jpg,https://www.gdmuseum.com/cn/col49/149275
双耳夔纹陶罐,西周中晚期,陶器,https://www.gdmuseum.com/upload/cn/image/2023-12/1702277782021.jpg,https://www.gdmuseum.com/cn/col49/149274
新石器时代玉琮,新石器时代,玉石器、宝石,https://www.gdmuseum.com/upload/cn/image/2023-12/1702277454948.jpg,https://www.gdmuseum.com/cn/col49/149273
“开元通宝”铜钱,唐代,钱币,https://www.gdmuseum.com/upload/cn/image/2023-11/1701327649168.jpg,https://www.gdmuseum.com/cn/col49/149272
宋端石太史砚,宋代,文具,https://www.gdmuseum.com/upload/cn/image/2023-11/1701327489267.jpg,https://www.gdmuseum.com/cn/col49/149271
珊瑚阿拉伯墓碑,唐代,石器、石刻、砖瓦,https://www.gdmuseum.com/upload/cn/image/2023-11/1701327291278.jpg,https://www.gdmuseum.com/cn/col49/149270
战国蟠首青铜盉,战国,铜器,https://www.gdmuseum.com/upload/cn/image/2023-11/1701327180178.jpg,https://www.gdmuseum.com/cn/col49/149269
战国蟠虺纹双耳青铜鉴,战国,铜器,https://www.gdmuseum.com/upload/cn/image/2023-11/1701327071409.jpg,https://www.gdmuseum.com/cn/col49/149268
新石器时代兽面纹石琮,新石器时代,石器、石刻、砖瓦,https://www.gdmuseum.com/upload/cn/image/2023-11/1701326937953.jpg,https://www.gdmuseum.com/cn/col49/149267
彩绘双耳罐,周代,陶器,https://www.gdmuseum.com/upload/cn/image/2023-11/1701326677224.jpg,https://www.gdmuseum.com/cn/col49/149266
唐玉饰,唐代,玉石器、宝石,https://www.gdmuseum.com/upload/cn/image/2023-11/1701312229043.png,https://www.gdmuseum.com/cn/col49/149265
唐玉饰,唐代,玉石器、宝石,https://www.gdmuseum.com/upload/cn/image/2023-11/1701311954663.jpg,https://www.gdmuseum.com/cn/col49/149264
南朝青釉六耳罐,南朝,瓷器,https://www.gdmuseum.com/upload/cn/image/2023-11/1701311692781.jpg,https://www.gdmuseum.com/cn/col49/149263
西晋陶鸡笼,西晋,陶器,https://www.gdmuseum.com/upload/cn/image/2023-11/1701311364871.jpg,https://www.gdmuseum.com/cn/col49/149262
陶俑,汉代,陶器,https://www.gdmuseum.com/upload/cn/image/2023-11/1701308682653.jpg,https://www.gdmuseum.com/cn/col49/149261
南朝青釉天鸡壶,南朝,陶器,https://www.gdmuseum.com/upload/cn/image/2023-11/1701308183244.jpg,https://www.gdmuseum.com/cn/col49/149260
插栓式青铜人首柱形器,战国时期,铜器,https://www.gdmuseum.com/upload/cn/image/2023-11/1701308050874.jpg,https://www.gdmuseum.com/cn/col49/149259
春秋羽状云纹青铜缶,春秋,铜器,https://www.gdmuseum.com/upload/cn/image/2023-11/1701223670412.jpg,https://www.gdmuseum.com/cn/col49/149258
春秋青铜缶,春秋,铜器,https://www.gdmuseum.com/upload/cn/image/2023-11/1701223550342.jpg,https://www.gdmuseum.com/cn/col49/149257
商石锛,商代,石器、石刻、砖瓦,https://www.gdmuseum.com/upload/cn/image/2023-11/1701223328642.jpg,https://www.gdmuseum.com/cn/col49/149256
石戈,商代,石器、石刻、砖瓦,https://www.gdmuseum.com/upload/cn/image/2023-11/1701223184667.jpg,https://www.gdmuseum.com/cn/col49/149255
商青铜戈,商代,铜器,https://www.gdmuseum.com/upload/cn/image/2023-11/1701223064051.jpg,https://www.gdmuseum.com/cn/col49/149254
东周青铜人首柱形饰,东周,铜器,https://www.gdmuseum.com/upload/cn/image/2023-11/1701222942131.jpg,https://www.gdmuseum.com/cn/col49/149253
东周青铜钲,东周,铜器,https://www.gdmuseum.com/upload/cn/image/2023-11/1701222462212.jpg,https://www.gdmuseum.com/cn/col49/149252
东周青铜钟,东周,铜器,https://www.gdmuseum.com/upload/cn/image/2023-11/1701222339039.jpg,https://www.gdmuseum.com/cn/col49/149251
宋端石抄手砚,宋代,文具,https://www.gdmuseum.com/upload/cn/image/2023-11/1701222154866.jpg,https://www.gdmuseum.com/cn/col49/149250
西汉鎏金青铜卮,西汉,铜器,https://www.gdmuseum.com/upload/cn/image/2023-11/1701221994164.jpg,https://www.gdmuseum.com/cn/col49/149249
唐水车窑青釉瓣口碗,唐代,瓷器,https://www.gdmuseum.com/upload/cn/image/2023-11/1701221842275.jpg,https://www.gdmuseum.com/cn/col49/149248
琉璃珠,战国时期,玻璃器,https://www.gdmuseum.com/upload/cn/image/2023-11/1701221478517.jpg,https://www.gdmuseum.com/cn/col49/149247
战国金柄玉环,战国,玉石器、宝石,https://www.gdmuseum.com/upload/cn/image/2023-11/1701221326132.jpg,https://www.gdmuseum.com/cn/col49/149246
战国勾连雷纹青铜编钟,战国,铜器,https://www.gdmuseum.com/upload/cn/image/2023-11/1700619083781.jpg,https://www.gdmuseum.com/cn/col49/149245
东汉陶俑,东汉,陶器,https://www.gdmuseum.com/upload/cn/image/2023-11/1700469497983.jpg,https://www.gdmuseum.com/cn/col49/149244
明Ⅲ式铜铳,明代,铜器,https://www.gdmuseum.com/upload/cn/image/2023-11/1700469268250.jpg,https://www.gdmuseum.com/cn/col49/149243
明Ⅲ式铜铳,明代,铜器,https://www.gdmuseum.com/upload/cn/image/2023-11/1700468969314.jpg,https://www.gdmuseum.com/cn/col49/149242
明Ⅰ式铜铳,明代,铜器,https://www.gdmuseum.com/upload/cn/image/2023-11/1700468818583.jpg,https://www.gdmuseum.com/cn/col49/149241
汉“亿年无疆”瓦当,汉代,石器、石刻、砖瓦,https://www.gdmuseum.com/upload/cn/image/2023-11/1700468382510.jpg,https://www.gdmuseum.com/cn/col49/149240
汉“万岁”瓦当,汉代,石器、石刻、砖瓦,https://www.gdmuseum.com/upload/cn/image/2023-11/1700467590502.jpg,https://www.gdmuseum.com/cn/col49/149239
青釉暗花盖罐,元代,瓷器,https://www.gdmuseum.com/upload/cn/image/2023-11/1700467399040.jpg,https://www.gdmuseum.com/cn/col49/149238
元青釉素面葵口碟,元代,瓷器,https://www.gdmuseum.com/upload/cn/image/2023-11/1700465838808.jpg,https://www.gdmuseum.com/cn/col49/149237
元青釉暗花葵口瓷盘,元代,瓷器,https://www.gdmuseum.com/upload/cn/image/2023-11/1700465691982.jpg,https://www.gdmuseum.com/cn/col49/149236
战国水波纹罐,战国,陶器,https://www.gdmuseum.com/upload/cn/image/2023-11/1700465479679.jpg,https://www.gdmuseum.com/cn/col49/149235
战国陶碗,战国,陶器,https://www.gdmuseum.com/upload/cn/image/2023-11/1700465175140.jpg,https://www.gdmuseum.com/cn/col49/149234
金指环,初唐,金银器,https://www.gdmuseum.com/upload/cn/image/2023-11/1700464991816.jpg,https://www.gdmuseum.com/cn/col49/149233
凤冠装饰品,明,金银器,https://www.gdmuseum.com/upload/cn/image/2023-11/1700463497300.jpg,https://www.gdmuseum.com/cn/col49/149232
凤冠装饰品,明,金银器,https://www.gdmuseum.com/upload/cn/image/2023-11/1700463114549.jpg,https://www.gdmuseum.com/cn/col49/149231
清朱鼎新新年景图轴屏,清代,书法、绘画,https://www.gdmuseum.com/upload/cn/image/2023-11/1700450695024.jpg,https://www.gdmuseum.com/cn/col49/149230
凤冠装饰品,明,金银器,https://www.gdmuseum.com/upload/cn/image/2023-11/1698979098310.jpg,https://www.gdmuseum.com/cn/col49/149229
花金钗,明,金银器,https://www.gdmuseum.com/upload/cn/image/2023-11/1698978960924.jpg,https://www.gdmuseum.com/cn/col49/149228
细花女发箍,明,金银器,https://www.gdmuseum.com/upload/cn/image/2023-11/1698978861529.jpg,https://www.gdmuseum.com/cn/col49/149227
金钗,明,金银器,https://www.gdmuseum.com/upload/cn/image/2023-11/1698978723432.jpg,https://www.gdmuseum.com/cn/col49/149226
圆形顶银簪,明,金银器,https://www.gdmuseum.com/upload/cn/image/2023-11/1698978595033.jpg,https://www.gdmuseum.com/cn/col49/149225
金佛字（镂空圆形）,宋代,金银器,https://www.gdmuseum.com/upload/cn/image/2023-11/1698978431194.jpg,https://www.gdmuseum.com/cn/col49/149224
石璜,商代,石器、石刻、砖瓦,https://www.gdmuseum.com/upload/cn/image/2023-11/1698978211260.jpg,https://www.gdmuseum.com/cn/col49/149223
陶小尊,商代,陶器,https://www.gdmuseum.com/upload/cn/image/2023-11/1698977866188.jpg,https://www.gdmuseum.com/cn/col49/149222
陶尊,商代,陶器,https://www.gdmuseum.com/upload/cn/image/2023-11/1698977402862.jpg,https://www.gdmuseum.com/cn/col49/149221
玛瑙珠,东汉,玉石器、宝石,https://www.gdmuseum.com/upload/cn/image/2023-11/1698977180977.jpg,https://www.gdmuseum.com/cn/col49/149220
战国青铜提梁壶,战国,铜器,https://www.gdmuseum.com/upload/cn/image/2023-11/1698977046968.jpg,https://www.gdmuseum.com/cn/col49/149219
战国青铜剑,战国,武器,https://www.gdmuseum.com/upload/cn/image/2023-11/1698976749440.jpg,https://www.gdmuseum.com/cn/col49/149218
清鎏金铜冠顶,清初,铜器,https://www.gdmuseum.com/upload/cn/image/2023-11/1698976414256.jpg,https://www.gdmuseum.com/cn/col49/149217
清朝带铜銙,清初,铜器,https://www.gdmuseum.com/upload/cn/image/2023-11/1698910224914.jpg,https://www.gdmuseum.com/cn/col49/149216
清朝带铜銙,清初,铜器,https://www.gdmuseum.com/upload/cn/image/2023-11/1698910096092.jpg,https://www.gdmuseum.com/cn/col49/149215
头饰,南宋,金银器,https://www.gdmuseum.com/upload/cn/image/2023-11/1698909924761.jpg,https://www.gdmuseum.com/cn/col49/149214
鎏金发簪,明代,金银器,https://www.gdmuseum.com/upload/cn/image/2023-11/1698909109286.jpg,https://www.gdmuseum.com/cn/col49/149213
鎏金帽饰,明代,金银器,https://www.gdmuseum.com/upload/cn/image/2023-11/1698908954648.jpg,https://www.gdmuseum.com/cn/col49/149212
龙首鎏金发簪,明代,金银器,https://www.gdmuseum.com/upload/cn/image/2023-11/1698908637374.jpg,https://www.gdmuseum.com/cn/col49/149211
东汉青铜洗,东汉初期,铜器,https://www.gdmuseum.com/upload/cn/image/2023-11/1698908321430.jpg,https://www.gdmuseum.com/cn/col49/149210
鸡笼,西晋永嘉六年,陶器,https://www.gdmuseum.com/upload/cn/image/2023-11/1698908060958.jpg,https://www.gdmuseum.com/cn/col49/149209
西晋犁田耙田模型,西晋,陶器,https://www.gdmuseum.com/upload/cn/image/2023-11/1698907782061.jpg,https://www.gdmuseum.com/cn/col49/149208
南朝青釉四耳罐,南朝,陶器,https://www.gdmuseum.com/upload/cn/image/2023-11/1698907635616.jpg,https://www.gdmuseum.com/cn/col49/149207
永初二年墓砖,南朝永初二年,石器、石刻、砖瓦,https://www.gdmuseum.com/upload/cn/image/2023-11/1698907435352.jpg,https://www.gdmuseum.com/cn/col49/149206
南朝至唐青铜镜,南朝至唐,铜器,https://www.gdmuseum.com/upload/cn/image/2023-11/1698890970854.jpg,https://www.gdmuseum.com/cn/col49/149205
六朝青釉碗,六朝,瓷器,https://www.gdmuseum.com/upload/cn/image/2023-11/1698890657732.jpg,https://www.gdmuseum.com/cn/col49/149204
串珠,东汉,石器、石刻、砖瓦,https://www.gdmuseum.com/upload/cn/image/2023-11/1698825484890.jpg,https://www.gdmuseum.com/cn/col49/149203
珠江河道上的英国船,19世纪,书法、绘画,https://www.gdmuseum.com/upload/cn/image/2023-10/1698739447258.jpg,https://www.gdmuseum.com/cn/col49/149202
东汉熏香豆,东汉,陶器,https://www.gdmuseum.com/upload/cn/image/2023-10/1698656212493.jpg,https://www.gdmuseum.com/cn/col49/149201
三国青釉四耳陶罐,三国时期,陶器,https://www.gdmuseum.com/upload/cn/image/2023-10/1698656092384.jpg,https://www.gdmuseum.com/cn/col49/149200
双耳陶杯,东汉,陶器,https://www.gdmuseum.com/upload/cn/image/2023-10/1698655996714.jpg,https://www.gdmuseum.com/cn/col49/149199
东汉陶鸡,东汉,陶器,https://www.gdmuseum.com/upload/cn/image/2023-10/1698655889905.jpg,https://www.gdmuseum.com/cn/col49/149198
玛瑙珠,东汉,玉石器、宝石,https://www.gdmuseum.com/upload/cn/image/2023-10/1698655632809.jpg,https://www.gdmuseum.com/cn/col49/149196
曲尺式陶屋,东汉中期,陶器,https://www.gdmuseum.com/upload/cn/image/2023-10/1698655481282.jpg,https://www.gdmuseum.com/cn/col49/149195
汉灵山型铜鼓,汉代,乐器、法器,https://www.gdmuseum.com/upload/cn/image/2023-10/1698654615973.jpg,https://www.gdmuseum.com/cn/col49/149194
航海罗盘,不详,度量衡器,https://www.gdmuseum.com/upload/cn/image/2023-10/1698653417458.jpg,https://www.gdmuseum.com/cn/col49/149193
南宋江西窑青釉盘口小瓶,南宋,瓷器,https://www.gdmuseum.com/upload/cn/image/2023-10/1698653326531.jpg,https://www.gdmuseum.com/cn/col49/149192
宋广东窑四耳瓜棱小罐,宋代,瓷器,https://www.gdmuseum.com/upload/cn/image/2023-10/1698653223988.jpg,https://www.gdmuseum.com/cn/col49/149191
宋广东窑盆,宋代,瓷器,https://www.gdmuseum.com/upload/cn/image/2023-10/1698653113435.jpg,https://www.gdmuseum.com/cn/col49/149190
宋青釉双耳洗,宋代,瓷器,https://www.gdmuseum.com/upload/cn/image/2023-10/1698653003283.jpg,https://www.gdmuseum.com/cn/col49/149189
唐白釉凸唇小碗,唐代,瓷器,https://www.gdmuseum.com/upload/cn/image/2023-10/1698652822969.jpg,https://www.gdmuseum.com/cn/col49/149188
唐双耳罐,唐代,瓷器,https://www.gdmuseum.com/upload/cn/image/2023-10/1698652614591.jpg,https://www.gdmuseum.com/cn/col49/149187
唐卷沿四耳罐,唐代,瓷器,https://www.gdmuseum.com/upload/cn/image/2023-10/1698395491682.jpg,https://www.gdmuseum.com/cn/col49/149186
弯弓石锛,新石器时代,石器、石刻、砖瓦,https://www.gdmuseum.com/upload/cn/image/2023-10/1698395336536.jpg,https://www.gdmuseum.com/cn/col49/149185
石斧,新石器时代,石器、石刻、砖瓦,https://www.gdmuseum.com/upload/cn/image/2023-10/1698395161011.jpg,https://www.gdmuseum.com/cn/col49/149184
鱼骨、兽骨、龟甲,新石器中期,标本、化石,https://www.gdmuseum.com/upload/cn/image/2023-10/1698394963489.jpg,https://www.gdmuseum.com/cn/col49/149183
十九世纪玳瑁银累丝烧蓝嵌宝小香盒,19世纪,,https://www.gdmuseum.com/upload/cn/image/2023-10/1698394815148.jpg,https://www.gdmuseum.com/cn/col49/149182
十九世纪红漆描金人物筹码盒,19世纪,漆器,https://www.gdmuseum.com/upload/cn/image/2023-10/1698394639539.jpg,https://www.gdmuseum.com/cn/col49/149181
十九世纪象牙油画“黄埔锚地,19世纪,牙骨角器,https://www.gdmuseum.com/upload/cn/image/2023-10/1698392426915.jpg,https://www.gdmuseum.com/cn/col49/149180
清嘉庆银鎏金累丝烧蓝山水纹扇,清嘉庆,金银器,https://www.gdmuseum.com/upload/cn/image/2023-10/1698392183003.jpg,https://www.gdmuseum.com/cn/col49/149179
清描金孔雀开屏锡胆茶叶盒,1900年,漆器,https://www.gdmuseum.com/upload/cn/image/2023-10/1698391379128.jpg,https://www.gdmuseum.com/cn/col49/149178
十九世纪银累丝镀金镶牙核雕手饰,十九世纪,金银器,https://www.gdmuseum.com/upload/cn/image/2023-10/1698391244553.jpg,https://www.gdmuseum.com/cn/col49/149177
十九世纪玳瑁浮通雕人物图圆盖盒,十九世纪,,https://www.gdmuseum.com/upload/cn/image/2023-10/1698390988464.jpg,https://www.gdmuseum.com/cn/col49/149176
清玳瑁浮雕市井人物图长方四足饰盒,清中期,,https://www.gdmuseum.com/upload/cn/image/2023-10/1698390802606.jpg,https://www.gdmuseum.com/cn/col49/149175
约1870年银锤胎留白盾形徽章纹梅竹图名片盒,约1870年,金银器,https://www.gdmuseum.com/upload/cn/image/2023-10/1698390255163.jpg,https://www.gdmuseum.com/cn/col49/149174
约1900年宏兴制外销龙纹花插,约1900年,金银器,https://www.gdmuseum.com/upload/cn/image/2023-10/1698390005597.jpg,https://www.gdmuseum.com/cn/col49/149173
十九世纪珍珠母水粉画,十九世纪,,https://www.gdmuseum.com/upload/cn/image/2023-10/1698376357802.jpg,https://www.gdmuseum.com/cn/col49/149172
清珐琅珍珠地怀表,清,珐琅器,https://www.gdmuseum.com/upload/cn/image/2023-10/1698376286657.jpg,https://www.gdmuseum.com/cn/col49/149171
当代岭南佳果工艺摆件（荔枝）,当代,石器、石刻、砖瓦,https://www.gdmuseum.com/upload/cn/image/2023-10/1698376044273.jpg,https://www.gdmuseum.com/cn/col49/149170
唐岭南采访使银五十两一定,唐代,钱币,https://www.gdmuseum.com/upload/cn/image/2023-10/1698374842953.jpg,https://www.gdmuseum.com/cn/col49/149169
银铤,宋代,钱币,https://www.gdmuseum.com/upload/cn/image/2023-10/1698371025027.jpg,https://www.gdmuseum.com/cn/col49/149168
战国郢爰金币,战国,钱币,https://www.gdmuseum.com/upload/cn/image/2023-10/1698308734804.jpg,https://www.gdmuseum.com/cn/col49/149167
政和通宝,北宋,钱币,https://www.gdmuseum.com/upload/cn/image/2023-10/1698308583036.jpg,https://www.gdmuseum.com/cn/col49/149166
绍圣元宝,北宋,钱币,https://www.gdmuseum.com/upload/cn/image/2023-10/1698308428171.jpg,https://www.gdmuseum.com/cn/col49/149165
熙宁元宝,北宋，宋神宗赵琐,钱币,https://www.gdmuseum.com/upload/cn/image/2023-10/1698308233190.jpg,https://www.gdmuseum.com/cn/col49/149164
天圣元宝,北宋1022-1031,钱币,https://www.gdmuseum.com/upload/cn/image/2023-10/1698308009731.jpg,https://www.gdmuseum.com/cn/col49/149163
清客家金漆木雕加彩人物故事挂屏,清,竹木雕,https://www.gdmuseum.com/upload/cn/image/2023-10/1698307906908.jpg,https://www.gdmuseum.com/cn/col49/149162
人物菱形荐盒,,竹木雕,https://www.gdmuseum.com/upload/cn/image/2023-10/1698307739305.jpg,https://www.gdmuseum.com/cn/col49/149161
文天祥像（拓片）,近现代,碑帖拓本,https://www.gdmuseum.com/upload/cn/image/2023-10/1698305048905.jpg,https://www.gdmuseum.com/cn/col49/149160
宋·苏轼书惠州合江楼诗拓,近现代,碑帖拓本,https://www.gdmuseum.com/upload/cn/image/2023-10/1698304817499.jpg,https://www.gdmuseum.com/cn/col49/149159
清·韩愈像拓片,近现代,碑帖拓本,https://www.gdmuseum.com/upload/cn/image/2023-10/1698304432301.jpg,https://www.gdmuseum.com/cn/col49/149158
明嘉靖真武铜像,明嘉靖,雕塑、造像,https://www.gdmuseum.com/upload/cn/image/2023-10/1698304355730.jpg,https://www.gdmuseum.com/cn/col49/149157
汉云纹铜车軎,汉代,铜器,https://www.gdmuseum.com/upload/cn/image/2023-10/1698304203544.jpg,https://www.gdmuseum.com/cn/col49/149156
汉兽首形铜盖弓帽,汉代,铜器,https://www.gdmuseum.com/upload/cn/image/2023-10/1698304005808.jpg,https://www.gdmuseum.com/cn/col49/149155
清乾隆二十二年“广州镶红旗满州佐领图记”铜印,清乾隆二十二年,玺印符牌,https://www.gdmuseum.com/upload/cn/image/2023-10/1698303459890.jpg,https://www.gdmuseum.com/cn/col49/149154
约1774—1852年乔治钱纳利绘疍家女,约1774—1852年,书法、绘画,https://www.gdmuseum.com/upload/cn/image/2023-10/1698303301755.jpg,https://www.gdmuseum.com/cn/col49/149153
煜呱风格绘十三行,1850年代晚期,书法、绘画,https://www.gdmuseum.com/upload/cn/image/2023-10/1698303149481.jpg,https://www.gdmuseum.com/cn/col49/149152
