藏品编号,藏品名字,藏品博物馆,藏品年代,藏品年代简介,藏品作者,藏品类型,藏品介绍,藏品图片地址,藏品地址,藏品材质,藏品来源,藏品收藏等级
44,现代溥雪斋行书节月赋轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
45,现代曹靖华书鲁迅诗轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
46,现代陆俨少设色江寺图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
47,现代杨德衡设色鸣雪图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
48,现代陈半丁行书毛泽东“为女民兵题照”轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
49,现代反黄刻关云长千里走单骑小围屏,辽宁博物馆,中华人民共和国,,,竹木雕,,,,木,征集购买,二级
50,现代顿立夫篆书杜甫诗句轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
51,现代姚雪垠行书七言诗二首立轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
52,现代陆俨少设色山水轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
53,现代季观之镜泊飞瀑横幅,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,丝,接受捐赠,三级
54,现代陈半丁行书毛泽东“六盘山”轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
55,现代反黄刻山水提箱,辽宁博物馆,中华人民共和国,,,竹木雕,,,,木,征集购买,二级
56,现代潘伯鹰行书叙兰亭刻本源流轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
57,现代臧克家行书毛主席诗词《卜算子咏梅》立轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
58,现代朱屺瞻兰花图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
59,现代钟质夫等合作长松集翠图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
60,现代丰子恺行书毛泽东“卜算子.咏梅”轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
61,现代反黄刻白猿八稜果盘,辽宁博物馆,中华人民共和国,,,竹木雕,,,,木,征集购买,二级
62,现代臧克家行书七言诗立轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
63,现代朱屺瞻设色藤萝图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
64,现代丰子恺行书毛泽东“六盘山”轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
65,现代反黄浅刻毛主席像,辽宁博物馆,中华人民共和国,,,竹木雕,,,,木,征集购买,二级
66,现代周士观草书毛主席诗词《水调歌头重上井岗山》、《念奴娇鸟儿问答》二首立轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
67,现代费新我行书毛泽东“昆仑”轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
68,现代反黄刻山水花鸟六稜瓶,辽宁博物馆,中华人民共和国,,,竹木雕,,,,木,征集购买,二级
69,现代周士观草书毛主席诗词《水调歌头重上井岗山》一首立轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
70,现代程十发设色人物轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
71,现代王个簃篆书毛泽东“黄鹤楼”轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
72,民国颜伯龙美人蕉猫石图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
73,现代周士观草书临怀素《送酒帖》立轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
74,现代宋文治设色山水,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
75,现代谢稚柳行书毛泽东“昆仑”轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
76,现代周士观草书临怀素自叙一节立轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
77,现代白雪石设色山水,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
78,现代叶恭绰行书毛泽东“沁园春雪”轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
79,现代丰子恺春日游图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
80,现代杨之光首都儿童看电视图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
81,现代周士观草书临书谱一节横幅,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
82,现代宋吟可设色人物,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
83,现代叶恭绰行书毛泽东“蝶恋花”横幅,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
84,现代萧俊贤陈年合作梅花图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
85,现代李苦禅葡萄公鸡立幅,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,二级
86,现代李苦禅花鸟册,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
87,现代罗复堪鞠部杂谈手稿卷,辽宁博物馆,中华人民共和国,,,名人遗物,,,,纸,征集购买,二级
88,现代周士观草书为新会废物利用展览馆题七言诗二首立轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
89,现代关良设色孙悟空轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
90,现代叶恭绰行书毛泽东“井冈山”轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
91,现代赵少昂花鸟图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
92,现代周铁衡设色花鸟图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
93,现代周士观草书轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
94,现代李苦禅水墨兰雀图横幅,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
95,现代叶恭绰行书毛泽东“北戴河”轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
96,现代李可染山水图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,旧藏,三级
97,现代王传涛山水立幅,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,二级
98,现代康生书札页,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
99,现代周士观篆书轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
100,现代宋振庭设色花卉,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
101,现代叶恭绰行书毛泽东“大拍地”轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
102,现代曹克家耄耋图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
103,现代徐悲鸿飞鹰图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,旧藏,三级
104,现代李智超青绿山水立幅,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,二级
105,现代黄宾虹水鸟图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,二级
106,现代王个簃设色花卉图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
107,现代夏承焘行书毛主席诗词《浣溪沙和柳亚子先生》立轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,皮革,接受捐赠,三级
108,现代叶恭绰行书毛泽东“长征”轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
109,现代谢稚柳竹蝶红叶图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
110,现代仿王震人物图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,拨交,三级
111,现代王华南雪景山水轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
112,现代齐白石葡萄图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,二级
113,现代郁文华设色花鸟图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
114,现代夏承焘行书毛主席诗词《七绝为女民兵题照》立轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
115,现代叶恭绰行书毛泽东“昆仑”横幅,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
116,现代潘天寿鸟石图镜心,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
117,现代摹辽阳北园汉墓车骑图壁画,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,采集,一般
118,现代刘旦宅新娘子出工图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
119,现代周怀民十三陵水库图横幅,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
120,现代马公愚菊花枇杷图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
121,现代夏承焘行书七言诗横幅,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
122,现代叶恭绰行书毛泽东“重阳”轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
123,现代黄胄雏鸡图镜心,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
124,现代王叔晖晴雯补裘图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
125,现代齐子如临八大山人花鸟册,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
126,现代周怀民十三陵水库工地图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
127,现代夏承焘行书七言春工诗一首立幅,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
128,现代叶恭绰行书毛泽东“会昌”轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
129,现代娄师白马耀华合作和平鸽图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
130,现代齐白石文具遗物,辽宁博物馆,中华人民共和国,,,文具,,,,"竹,毛,石",征集购买,二级
131,现代周怀民密云水库工地图横幅,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
132,现代夏承焘行书词一首横幅,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
133,现代溥行书七言联,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
134,现代叶恭绰行书毛泽东“黄鹤楼”轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
135,现代掐丝珐琅北京名胜瓶,辽宁博物馆,中华人民共和国,,,珐琅器,,,,铜,征集购买,三级
136,现代陆鸿年夕阳图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
137,现代寿山石雕儿童与和平鸽,辽宁博物馆,中华人民共和国,,,雕塑、造像,,,,宝玉石,征集购买,二级
138,现代周怀民青铜峡工地图横幅,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
139,现代夏承焘行书天安门国庆观礼作好事近词立轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
140,现代王曼如指画松树轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
141,现代叶恭绰行书毛泽东“六盘山”轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
142,现刘单庵香笔画册,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,旧藏,三级
143,现代掐丝珐琅凫雁蒜头瓶,辽宁博物馆,中华人民共和国,,,珐琅器,,,,铜,征集购买,三级
144,现代颜地漓江写生山水立幅,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,二级
145,现代寿山石雕子母羊,辽宁博物馆,中华人民共和国,,,雕塑、造像,,,,宝玉石,征集购买,二级
146,现代门神灶王印板,辽宁博物馆,中华人民共和国,,,其他,,,,木,采集,三级
147,现代乔木石榴小鸟图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
148,现代叶圣陶楷书浣溪沙二首立轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
149,现代车向忱颂高其佩画展行书联,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
150,现代叶恭绰行书毛泽东“游泳”横幅,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
151,现代颜地漓江写生山水立幅,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,二级
152,现代寿山石彫鹅,辽宁博物馆,中华人民共和国,,,雕塑、造像,,,,宝玉石,征集购买,二级
153,现代纸牌、骰子,辽宁博物馆,中华人民共和国,,,其他,,,,"纸,骨角牙",采集,三级
154,现代叶圣陶篆书毛主席诗词《采桑子重阳》轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
155,现代叶恭绰行书毛泽东“从汀州向长沙”横幅,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
156,现代马一浮行书谢诸友诗轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
157,现代萨镇冰楷书轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,旧藏,三级
158,现代黄胄收获图轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,二级
159,现代景德镇窑彩釉紫鹃送茶瓷塑,辽宁博物馆,中华人民共和国,,,雕塑、造像,,,,瓷,征集购买,三级
160,现代萨满神鼓,辽宁博物馆,中华人民共和国,,,乐器、法器,,,,木,采集,三级
161,现代叶圣陶篆书集陶谢句五言联,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
162,现代叶恭绰行书毛泽东“蒋桂战争”轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
163,现代马衡隶书轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,征集购买,三级
164,现代剔红牡丹长方盒,辽宁博物馆,中华人民共和国,,,漆器,,,,木,征集购买,三级
165,现代广绣牡丹孔雀立轴,辽宁博物馆,中华人民共和国,,,织绣,,,,丝,征集购买,二级
166,现代于立群篆书毛主席诗词《沁园春雪》立轴,辽宁博物馆,中华人民共和国,,,书法、绘画,,,,纸,接受捐赠,三级
