collectID,collectName,collectYear,collectDetailYear,collectType,collectLevel,collectTexture,detailSize,unearthedLocation,collectSynopsis,threeDimensionalInfo,collectImages,museum
11,青花缠枝灵芝纹高足杯,"中国历史学年代,元(1206~1368)",nan,瓷器,二级,瓷,不详,nan,撇口，腹部弧形内收，竹节形高足，足端平切。胎质细白坚致，施青白釉。外壁绘缠枝灵芝纹。内口沿饰卷草纹一周，腹壁模印双龙赶珠纹，底心绘写意菊花。,https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/4632.html,"['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167791543385020525081150260926423&type=S&s=2009', 'https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167791543797220525081137262291904&type=S&s=2289', 'https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167791544131620525081150260922049&type=S&s=2238']",辽宁博物馆
12,青花双鸾纹高足杯,"中国历史学年代,元(1206~1368)",nan,瓷器,二级,瓷,不详,nan,撇口，腹部弧形内收，竹节形高足，足端平切。胎质细白坚致。外壁施青白釉，绘双鸾纹。内口沿及内底施青白釉，分别绘卷草纹和写意菊花；内壁施卵白釉，模印双龙赶珠纹。,https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/4633.html,"['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167791545677020525081148654325562&type=S&s=2109', 'https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167791546097120525081131603708327&type=S&s=2181', 'https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167791546461320525081148654323764&type=S&s=2346']",辽宁博物馆
13,元青花云龙纹高足杯,"中国历史学年代,元(1206~1368)",元,瓷器,一级,瓷,高11.4 口径13.2 足径3.9,nan,撇口，腹部弧形内收，高足微外撇，足端平切。胎质细白坚致，施青白釉。外壁绘云龙纹和变体莲瓣纹，圈足绘卷草纹和蕉叶纹。内口沿饰卷草纹一周，腹壁模印赶珠五爪龙纹和变体莲瓣纹，底心绘变体莲瓣纹。青花发色纯正，笔路清晰，工艺精湛，是元青花高足杯中的上乘之作。,https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/28248.html,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790814410020525081146945808233&type=S&s=2143'],辽宁博物馆
14,元青花云龙纹高足杯,"中国历史学年代,元(1206~1368)",元,瓷器,二级,瓷,高8.8 口径9 足径3.7,nan,撇口，腹部弧形内收，高足微外撇，足端平切。胎质坚致，釉面白中泛青灰色。外壁绘赶珠龙纹。内口沿饰卷草纹一周，底心绘火珠纹,https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/26332.html,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790807670820525081900534161049&type=S&s=1939'],辽宁博物馆
15,元青花折枝栀子花纹梨形壶,"中国历史学年代,元(1206~1368)",元,瓷器,一级,瓷,通高10.8 腹径8 底径5.3,nan,壶体垂腹似梨形，平底。长流小柄，荷叶形盖。造型小巧敦厚。青白釉，青花发色蓝中带灰褐。腹壁两面分绘折枝栀子花纹，颈部饰一周卷草纹。,https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/28247.html,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790822064420525081163541411304&type=S&s=2326'],辽宁博物馆
16,元青花十字杵纹盘,"中国历史学年代,元(1206~1368)",元,瓷器,二级,瓷,高4.1 口径14.1 底径8.6,nan,撇口，弧腹，圈足。胎质细腻，施青白釉。外壁绘变体莲瓣纹。内壁绘缠枝菊花纹并模印双龙纹，底心绘十字杵纹。青花发色浓淡有别，相映成趣。,https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/2612.html,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790804861420525081163541417257&type=S&s=2482'],辽宁博物馆
17,清黑漆螺钿游春图帽盒,"中国历史学年代,清(1616~1911)",清,漆器,二级,"棉麻纤维,其他有机质","口径35.8,高29.3",nan,木胎黑漆推光，嵌螺钿。圆形有盖，盖顶作筒状把手。花纹以山水人物为主，人物服饰皆明制。盖上有折枝花及山水人物。,https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/qihe.html,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790835391520525081900534169381&type=S&s=2427'],辽宁博物馆
18,清乾隆黄地青花云龙纹螭耳扁壶,"中国历史学年代,清(1616~1911)",清,瓷器,三级,nan,高24.6、口径5.4、底径5.3×8.9厘米,nan,口沿外撇，高领，扁圆腹，圈足。肩部塑贴螭形双耳。外壁以釉上黄彩为地，饰青花云龙及福山寿海纹。龙呈正面，绘画精致，生动威猛。底有“大清乾隆年制”三行六字篆书青花款。,https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/18220.html,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167791252073720525081878711373866&type=S&s=2140'],辽宁博物馆
19,清嘉庆粉彩莲花寿字纹瓶,"中国历史学年代,清(1616~1911)",清,瓷器,三级,nan,高17.9、口径5.1、腹径11.9、底径6.8厘米,nan,敞口，长颈，溜肩，鼓腹，圈足。器口内壁施松石绿釉，外壁满绘粉彩纹饰。颈部饰莲花吉庆纹，腹部饰莲花金彩寿字纹。底部“大清嘉庆年制”红彩篆书款。,https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/18235.html,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167791354249720525081464793805176&type=S&s=2042'],辽宁博物馆
20,钧窑窑变釉铺首衔环三足炉,"中国历史学年代,宋",nan,瓷器,一级,瓷,高17.7   口径17.9   腹径20,nan,洗口，高领，扁圆腹，三足。腹壁塑贴铺首衔环。外底环形内凹。灰白胎，胎质细腻。施天青釉，腹部有紫红窑变斑，两色交融，浑然天成。磨口，镶铜口。,https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/17851.html,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167791054412820525081420088184460&type=S&s=2288'],辽宁博物馆
21,雷乳纹方鼎,"中国历史学年代,商(前1600~前1046)",商,铜器,一级,铜,高51.7 口径40.8*30.5 足高19,喀左北洞村2号青铜器窖藏,口略大于底，底微凸，柱足较粗短。口沿下饰兽面纹带，雷纹衬地，腹部饰乳丁纹框，四隅有扉棱；内底四角对应于鼎足部有四个圆窝，外底有十字形铸纹；足上部饰兽面纹。腹内长壁及内底都铸有铭文，内壁铭文4行24字：“丁亥拥商（赏）又（右）正要要贝才（在）穆朋二百要展（扬）商（赏）用乍（作）母己蹲（尊）饕”；内底中心铸有铭文四字：“真（箕）侯亚矣”。全文大意是：姐（人名）在穆（地名）赐右正（官名）要（人名）贝二百朋，要称扬箕侯亚吴的赏赐，铸造此鼎以祭祀母己。要属于商末箕侯亚吴族，周初仍在燕任右正。箕侯亚吴人造的青铜器，曾在北京卢沟桥出土。方鼎是铜器之尊，已出土的商周方鼎大都见于商代国都和王墓之中，王畿之外的大型方鼎目前仅此一件。此鼎制作精工，形制规矩，铭文秀丽。箕侯在周初虽服侍于燕侯，但在商代是仅次于商王的巨族，这件方鼎是箕侯权势地位的体现。,https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/21.html,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790710340320525081129883153607&type=S&s=2175'],辽宁博物馆
22,西周“圉”铜簋,"中国历史学年代,周,西周(前1046~前771)",nan,铜器,二级,铜,通高27.2 通耳宽35 口径22 座径18.5*17.7,nan,侈口，鼓腹，两兽耳下带珥。耳上的三层动物装饰很独特，器耳高出器表。高圈足，足下带方座。器腹饰以扉棱为鼻的饕餮纹，圈足上饰夔纹，方座四面各饰一饕餮纹，内底铸有铭文十四字。,https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/22.html,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167791326560020525081249413445278&type=S&s=2330'],辽宁博物馆
23,西周“鱼”铭铜尊,"中国历史学年代,周,西周(前1046~前771)",西周,铜器,一级,铜,高37 口径25.3 底径15.3,喀左山湾子青铜器窖藏,形体近觚形，喇叭口，起四棱脊，略挑出器口。花纹可分三段，各段纹饰均以棱脊为鼻，主纹间填云雷纹地。颈部为四组倒置的蕉叶兽面纹，下为一对相向的夔龙纹；腹部和圈足均饰兽面纹。圈足内侧铸有铭文：“鱼”，为家族族徽，在商代已有发现。此器器形独特，西周早期有瘦高、趋向觚形的尊，“鱼”尊即具有此特点。此外，侈口圈足、挑檐及扉棱等纹饰均具西周早期青铜器的特征。,https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/23.html,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790677587420525081372525261063&type=S&s=2341'],辽宁博物馆
24,西周卷体夔纹蟠龙盖罍,"中国历史学年代,周,西周(前1046~前771)",西周,铜器,一级,铜,通高44.5厘米；口径15.5厘米；底径16.5厘米,喀左北洞村2号青铜器窖藏,罍是商周时期贮酒器，容量较大。这件罍纹饰以浅浮雕为主，结合细部刻划，有很强的立体感。罍身纹饰分肩、腹两部分，都以对称夔凤纹为饰，通身以云雷纹为地。圈足部分饰一周龙纹，或说是夔纹。罍盖上铸出一条蟠踞的龙，形如蜥蜴，头上一对瓶形角，这条龙盘着身子和尾巴，双足着地，肘部微曲，似随时要发力跃起，动静之际，栩栩如生，盖的顶部正对龙胸腹的地方刻画有几只简化又鲜活的蝉纹。精美的纹饰、流畅的造型以及强烈的写实意味代表了周代造型艺术的极高水准。,https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/24.html,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790686805820525081102552299775&type=S&s=2374'],辽宁博物馆
25,西周“伯矩”甗,"中国历史学年代,周,西周(前1046~前771)",西周,铜器,一级,铜,通耳高41  口径25.5 腹深24,喀左山湾子青铜器窖藏,方唇，索状直耳。甑鬲间有箅，柱状实足，口沿下饰一周三组兽面纹，衬以细致的雷纹带。鬲部款足上部饰凸起的兽面纹。甑部内腹上近口沿处有铭文六字：“白（伯）矩乍（作）宝蹲（尊）彝”。此器“伯矩”铭文与北京房山琉璃河西周燕国墓葬所出“伯矩”器器名一致，为同一家族同组的器物，对研究伯矩家族及西周封国有极高的历史价值。器主伯矩有接受燕侯赏赐的记录，这是有关周初封燕势力已达长城以北的又一实证。,https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/25.html,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790649252320525081372525264177&type=S&s=2262'],辽宁博物馆
26,西周“史伐”卣,"中国历史学年代,周,西周(前1046~前771)",西周,铜器,一级,铜,高24.5、口径14.5x11、腹径20.5x16.5、底径16.9x13.2,喀左马厂沟青铜器窖藏,"椭圆形体，提梁两端饰有牛首，提梁上饰并列的蝉纹。盖上有杯状纽及角状突起，盖与口沿下各饰一周夔纹带，间以兽首，纹带上下各饰一周联珠纹，圈足饰两道凸弦纹，器腹光素无纹。盖及器内腹部铸有相同铭文：“史伐乍（作）父壬僔
（尊）彝”。“史”，官名，掌记事、祭祀等，铭谓此系史官名伐者为其父名壬者所作之器。“伐”一释“戍”。",https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/26.html,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167791399804820525081111107349557&type=S&s=2095'],辽宁博物馆
27,西周“登屰”方罍,"中国历史学年代,周,西周(前1046~前771)",西周,铜器,一级,铜,高851.3 厘米口径17.34*15.8厘米,喀左小波汰沟青铜器窖藏,屋脊式盖。腹为四面体，直颈，弧形肩，下腹内收，方圈足。通体四角及中间均起棱背，腹两侧各有一兽首形环耳，耳衔一游环。肩上部饰两道凸弦纹，腹前后两面均有一兽首形鼻，盖及器身通体饰多组兽面纹，细雷纹衬地，形制优美，纹饰繁缛。器盖内一侧有铭文两字：“登屰”，为家族族徽，时代当在西周早期。,https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/27.html,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167791389733820525081103688457084&type=S&s=2252'],辽宁博物馆
28,西周宽带纹贯耳壶,"中国历史学年代,周,西周(前1046~前771)",西周晚期,铜器,一级,铜,高41.6、口径10、腹径19.2、底径12,喀左马厂沟青铜器窖藏,壶体呈长圆形，束颈，贯耳，长鼓腹，圜底。此壶似原本有座，经打磨后成现状，故不稳。壶身饰有纵横相交的宽带形纹，形制罕见。此器造型独特，简洁朴素典雅，风格独异，宽带纹，具有西周前期的特点，时代当在西周早期偏后。长鼓腹在西周早期也少见，贯耳为仿商后期的特点，与西周中后期造型不同。,https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/28.html,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790689921720525081173906417806&type=S&s=2089'],辽宁博物馆
29,北宋“上京”款大晟南吕编钟,"中国历史学年代,宋,北宋(960~1127)",北宋,铜器,一级,铜,高27.9厘米；下口径18.45x14.9厘米,nan,青铜铸造，透雕双龙钮，有铁鼻环，钟两面铸蟠虺纹，栾旁篆带皆为细蟠虺纹，其间隔以绳纹凸起线，属于椭圆筩式乐钟形式。编钟一面铸“大晟”，一面铸“南吕中声”篆文，是宋徽宗所制新乐——“大晟乐”里的编钟之一。,https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/29.html,"['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790562192920525081865645225057&type=S&s=2337', 'https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790571332520525081865645221782&type=S&s=2318']",辽宁博物馆
30,商“大祖日己”戈,"中国历史学年代,商(前1600~前1046)",商,铜器,一级,铜,长27.53、最宽4.29、厚0.75,nan,罗振玉旧藏，《三代吉金文存》、《观堂集林》等书都曾著录。三件戈为同一组器物，器形相近，皆直援微胡，内端为镂空透雕凤纹。援身倒铸铭文，分别为“大祖日己祖日丁祖日乙祖日庚祖日丁祖日己祖日己”，“祖日己大父日癸大父日癸中父日癸父日癸父日辛父日己”，“大兄日乙兄日戊兄日壬兄日癸兄日癸兄日丙”。此戈形制不出商制范围，但是细部又有差别，如内（nà)端镂空立鸟基本与内的阔度相当或微大，不似殷墟常见的鸟喙似勾而下垂的曲内。王国维论其“当为殷时北方侯国之器”。从援身铸家族成员名号来看，这并非是一件实战武器，而是一件宗庙祭祀中的陈设品。此组戈涉人名二十人，且及太祖、祖、父、兄四辈，对于殷商亲族制度与世及制度的研究都是难得的材料，罗振玉“传世古兵无能逾此”的评价可谓恰如其分。,https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/30.html,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790999818620525081173906418381&type=S&s=2253'],辽宁博物馆
31,商“祖日乙”戈,"中国历史学年代,商(前1600~前1046)",商,铜器,一级,铜,长27.63、最宽4.2、厚0.78,nan,罗振玉旧藏，《三代吉金文存》、《观堂集林》等书都曾著录。三件戈为同一组器物，器形相近，皆直援微胡，内端为镂空透雕凤纹。援身倒铸铭文，分别为“大祖日己祖日丁祖日乙祖日庚祖日丁祖日己祖日己”，“祖日己大父日癸大父日癸中父日癸父日癸父日辛父日己”，“大兄日乙兄日戊兄日壬兄日癸兄日癸兄日丙”。此戈形制不出商制范围，但是细部又有差别，如内（nà)端镂空立鸟基本与内的阔度相当或微大，不似殷墟常见的鸟喙似勾而下垂的曲内。王国维论其“当为殷时北方侯国之器”。从援身铸家族成员名号来看，这并非是一件实战武器，而是一件宗庙祭祀中的陈设品。此组戈涉人名二十人，且及太祖、祖、父、兄四辈，对于殷商亲族制度与世及制度的研究都是难得的材料，罗振玉“传世古兵无能逾此”的评价可谓恰如其分。,https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/30.html,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167791005853120525081163541416989&type=S&s=2388'],辽宁博物馆
32,商“大兄日乙”戈,"中国历史学年代,商(前1600~前1046)",商,铜器,一级,铜,长26.13、最宽5.1、厚0.69,nan,罗振玉旧藏，《三代吉金文存》、《观堂集林》等书都曾著录。三件戈为同一组器物，器形相近，皆直援微胡，内端为镂空透雕凤纹。援身倒铸铭文，分别为“大祖日己祖日丁祖日乙祖日庚祖日丁祖日己祖日己”，“祖日己大父日癸大父日癸中父日癸父日癸父日辛父日己”，“大兄日乙兄日戊兄日壬兄日癸兄日癸兄日丙”。此戈形制不出商制范围，但是细部又有差别，如内（nà)端镂空立鸟基本与内的阔度相当或微大，不似殷墟常见的鸟喙似勾而下垂的曲内。王国维论其“当为殷时北方侯国之器”。从援身铸家族成员名号来看，这并非是一件实战武器，而是一件宗庙祭祀中的陈设品。此组戈涉人名二十人，且及太祖、祖、父、兄四辈，对于殷商亲族制度与世及制度的研究都是难得的材料，罗振玉“传世古兵无能逾此”的评价可谓恰如其分。,https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/30.html,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167791010867320525081317285158457&type=S&s=2373'],辽宁博物馆
33,清乾隆粉彩百花尊,"中国历史学年代,清(1616~1911)",清,瓷器,三级,瓷,高31.3、口径17.2、底径12.9厘米,nan,青铜觚形，粉彩百花图装饰。“百花图”纹样常以牡丹花作为中心，多种花卉错落分布于主花周围，形成色彩斑斓，富丽华贵的视觉效果。寓意百花齐放，富贵繁荣。胎釉质地精良，纹样线条流畅，施彩均匀严谨，体现了皇家御制瓷的精良做工，堪称清代粉彩瓷器之精品。,https://www.lnmuseum.com.cn/singleMuseum/3DView/liaoning/31.html,['https://www.lnmuseum.com.cn/singleMuseum/attach/getImg?fileId=167790947430420525081146945809106&type=S&s=2338'],辽宁博物馆
