collectID,name,author,relicTime,imageUrl,description,realUrl,museum
26856,马头和马身,nan,206 ECB-8 EC,https://piction-web.eas.iu.edu/piction/ump.di?e=AD773D683CE3BABC711FA5D05B550A5D9DF293413546031C0A74592812E7DF78&s=21&se=520794163&v=1&f=xx2006.827_o4.jpg,Margaret和Michael Chung的礼物，印第安纳大学Eskenazi艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2006.827,印第安纳博物馆
26857,马场型瓮,nan,2200–2000 BCE,nan,Margaret和Michael Chung的礼物，印第安纳大学Eskenazi艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2006.828,印第安纳博物馆
26858,无棣中国战神,nan,Ca.1928,https://piction-web.eas.iu.edu/piction/ump.di?e=2209C7F9A5513B8866BDD662E15F48E905BBA8B27C1F73BD713F2080A11292ED&s=21&se=520794163&v=1&f=xx2007.44_o4.jpg,罗杰和伊丽莎白·巴克的礼物，印第安纳大学埃斯肯纳兹艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2007.44,印第安纳博物馆
26859,突然的疼痛,nan,Ca.1927,https://piction-web.eas.iu.edu/piction/ump.di?e=0A6C45CA88BFD548E75D18F227EB182050CF35CC6448AC0D79223896317F5056&s=21&se=520794163&v=1&f=xx2007.45_o4.jpg,罗杰和伊丽莎白·巴克的礼物，印第安纳大学埃斯肯纳兹艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2007.45,印第安纳博物馆
26860,大闹天宫,nan,1923–1933,https://piction-web.eas.iu.edu/piction/ump.di?e=BE159EC5A4C4EAA686495C199D62533F2C7311421728E06328965A0588D762FB&s=21&se=520794163&v=1&f=xx2007.46_o4.jpg,罗杰和伊丽莎白·巴克的礼物，印第安纳大学埃斯肯纳兹艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2007.46,印第安纳博物馆
26861,嫦娥奔月,nan,1923–1928,nan,罗杰和伊丽莎白·巴克的礼物，印第安纳大学埃斯肯纳兹艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2007.47,印第安纳博物馆
26862,碗,nan,9-10世纪,nan,佐藤昭治的礼物，印第安纳大学埃斯肯纳兹艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2007.48,印第安纳博物馆
26863,碗,nan,二十世纪,https://piction-web.eas.iu.edu/piction/ump.di?e=D168D4F2323555E6571DEC2C7DD1365992884E222DADE3FABF3DEA51E8FEC6B1&s=21&se=520794163&v=1&f=xx2009.63_o4.jpg,弗雷德里克·L·贝蒂教授的礼物，印第安纳大学埃斯肯纳兹艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2009.63,印第安纳博物馆
26864,黄铜赤道日晷,nan,19世纪末至20世纪初,https://piction-web.eas.iu.edu/piction/ump.di?e=0060CB56E8116AA395F3E9A539ACD887BC4F417DBF7750D2EE14199C3ACF2A07&s=21&se=520794163&v=1&f=xx2010.155_o4.jpg,Raymond和Laura Wielgus收藏，印第安纳大学Eskenazi艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2010.155,印第安纳博物馆
26865,中国街景,nan,十九世纪,https://piction-web.eas.iu.edu/piction/ump.di?e=A4A636801F34BFD58FE4431E7D97341F981D45435DDB56E17FE1BD576636E553&s=21&se=428332114&v=1&f=xx2012.1_o4.jpg,印第安纳大学埃斯肯纳兹艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2012.1,印第安纳博物馆
26866,一名男子向一名小男孩示范中国悠悠球,nan,十九世纪,https://piction-web.eas.iu.edu/piction/ump.di?e=49AA4041DE22A81E865E37BB54D346E92B269ADDA1090FD8B0E16BA2382ED23A&s=21&se=428332114&v=1&f=xx2012.1.1_o4.jpg,印第安纳大学埃斯肯纳兹艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2012.1.1,印第安纳博物馆
26867,容器,nan,二十世纪,https://piction-web.eas.iu.edu/piction/ump.di?e=618E815A3C558B48367C323826C6C7C065BEF9AA206BC9D7041EE6FD2D59EE56&s=21&se=428332114&v=1&f=xx2013.161_o4.jpg,Francine和Roger Hurwitz的礼物，印第安纳大学Eskenazi艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2013.161,印第安纳博物馆
26868,土生华人婚纱,nan,18世纪,https://piction-web.eas.iu.edu/piction/ump.di?e=936D2226EF7D7A4F3227A0853DD32CA65FA61DBD2E00384173A0DD97934D9173&s=21&se=428332114&v=1&f=xx2014.39_o4.jpg,纪念博士的礼物&amp；Luther S.Roehm女士，印第安纳大学埃斯肯纳兹艺术博物馆Roehm家族收藏,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2014.39,印第安纳博物馆
26869,中国长袍丝绸刺绣面板,nan,19世纪至20世纪初,https://piction-web.eas.iu.edu/piction/ump.di?e=C487E16C653AB73159ECE681C67046E0EF5999E2208D51166D8B823833DD182E&s=21&se=428332114&v=1&f=xx2015.118_o4.jpg,Dana S.&amp；的礼物；史蒂文·B·库克纪念大卫·里奇曼，印第安纳大学埃斯肯纳兹艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2015.118,印第安纳博物馆
26870,中国长袍丝绸刺绣面板,nan,19世纪至20世纪初,https://piction-web.eas.iu.edu/piction/ump.di?e=C487E16C653AB731C41ED1E3F737D5102ADAF52E6A152A55E881DA74BFEDAD5F&s=21&se=428332114&v=1&f=xx2015.119_o4.jpg,Dana S.&amp；的礼物；史蒂文·B·库克纪念大卫·里奇曼，印第安纳大学埃斯肯纳兹艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2015.119,印第安纳博物馆
26871,中国长袍丝绸刺绣面板,nan,19世纪至20世纪初,https://piction-web.eas.iu.edu/piction/ump.di?e=5C9FA9447B74DFE7911E41341E36B724D00D0E6D83FD20DF460AF9CD9307F8AF&s=21&se=428332114&v=1&f=xx2015.120_o4.jpg,Dana S.&amp；的礼物；史蒂文·B·库克纪念大卫·里奇曼，印第安纳大学埃斯肯纳兹艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2015.120,印第安纳博物馆
26872,中国长袍丝绸刺绣面板,nan,19世纪至20世纪初,https://piction-web.eas.iu.edu/piction/ump.di?e=0E6D1B2C0DB2D1A37F19B41C6D186669EC28885618BAAC6B425BFF6D04CAB018&s=21&se=428332114&v=1&f=xx2015.121_o4.jpg,Dana S.&amp；的礼物；史蒂文·B·库克纪念大卫·里奇曼，印第安纳大学埃斯肯纳兹艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2015.121,印第安纳博物馆
26873,礼器（礼鼎）,nan,1300–1045 BCE,https://piction-web.eas.iu.edu/piction/ump.di?e=842800B483BF70E375DF191DCEBE357DEADD1871F8444EAEC0E0B20834AB0417&s=21&se=2139814423&v=1&f=xx58.41_o4.jpg,William Lowe Bryan纪念馆，印第安纳大学Eskenazi艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=58.41,印第安纳博物馆
26874,农场棚屋模型,nan,206 BCE–220 CE,https://piction-web.eas.iu.edu/piction/ump.di?e=E1F62961D99B38FD1A37944D45383A6CAB64B2DE2C472DA89877725D2B020549&s=21&se=623265529&v=1&f=xx60.65_o4.jpg,印第安纳大学埃斯肯纳兹艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.65,印第安纳博物馆
26875,镜子,nan,25–221,nan,James和Marvelle Adams为纪念William Lowe Bryan而赠送的礼物，印第安纳大学Eskenazi艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.71,印第安纳博物馆
26876,高，匕首斧,nan,1600–1045 BCE,nan,James和Marvelle Adams为纪念William Lowe Bryan而赠送的礼物，印第安纳大学Eskenazi艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.72,印第安纳博物馆
26877,礼器（爵）,nan,1300–1045 BCE,https://piction-web.eas.iu.edu/piction/ump.di?e=9234B1B15DDC24BF476BB2900DC1FDB226424FA3F78839EEFA2E3A52F9F6D507&s=21&se=88177587&v=1&f=xx60.73_o4.jpg,James和Marvelle Adams为纪念William Lowe Bryan而赠送的礼物，印第安纳大学Eskenazi艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.73,印第安纳博物馆
26878,簋,nan,722–481 BCE,nan,James和Marvelle Adams为纪念William Lowe Bryan而赠送的礼物，印第安纳大学Eskenazi艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.74,印第安纳博物馆
26879,礼器（尊）,nan,1300–1045 BCE,https://piction-web.eas.iu.edu/piction/ump.di?e=D735627DA93041F4D5C83923716B1F1888FA8F27D54618744FB730E4114A8E88&s=21&se=1499601697&v=1&f=xx60.75_o4.jpg,James和Marvelle Adams为纪念William Lowe Bryan而赠送的礼物，印第安纳大学Eskenazi艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.75,印第安纳博物馆
26880,祭祀餐皿,nan,1045–900 BCE,https://piction-web.eas.iu.edu/piction/ump.di?e=D5FB7A9F2DD0DCDC2C97E465EE6A321084024CDEBAB81A378E74236B1299AFD1&s=21&se=1921392988&v=1&f=xx60.76_o4.jpg,James和Marvelle Adams为纪念William Lowe Bryan而赠送的礼物，印第安纳大学Eskenazi艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.76,印第安纳博物馆
26881,带有外部莲花花瓣设计的碗,nan,十二世纪,https://piction-web.eas.iu.edu/piction/ump.di?e=4219E2FE6F8095C18D6C5A911A1818AEDFB1FFFDC57DC184A2AF16D65C382734&s=21&se=1335942602&v=1&f=xx61.77_o4.jpg,印第安纳大学埃斯肯纳兹艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=61.77,印第安纳博物馆
26882,马,nan,7-10世纪,https://piction-web.eas.iu.edu/piction/ump.di?e=EDD6E13C736FFAA6B95160FDF4C88AFED187CA364FFFE310F36FC9DB8BB16774&s=21&se=1335942602&v=1&f=xx62.10_o4.jpg,印第安纳大学埃斯肯纳兹艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=62.10,印第安纳博物馆
26883,牛车,nan,206 BCE–220 CE,https://piction-web.eas.iu.edu/piction/ump.di?e=3082D0C902F8020A29537DD9D9B3FD37E85513F696F44B8A1EF4955520EF1198&s=21&se=1335942602&v=1&f=xx79.200.II.62.11_o4.jpg,印第安纳大学埃斯肯纳兹艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=62.11,印第安纳博物馆
26884,坐着演奏琵琶的女音乐家,nan,7世纪至10世纪初,https://piction-web.eas.iu.edu/piction/ump.di?e=4245CD54AFA07D4ABA673B891C73CED0A50F0112B484DB799525960F52797EAE&s=21&se=1335942602&v=1&f=xx62.12a_o4.jpg,印第安纳大学埃斯肯纳兹艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=62.12A,印第安纳博物馆
26885,坐着演奏排箫的女音乐家,nan,7世纪至10世纪初,https://piction-web.eas.iu.edu/piction/ump.di?e=3EF1DDC0C269851D87C73A73D907A3D3F3F513058E812145BE96E92920064F70&s=21&se=1335942602&v=1&f=xx62.12b_o4.jpg,印第安纳大学埃斯肯纳兹艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=62.12B,印第安纳博物馆
26886,殡仪馆瓮,nan,公元前两千年,https://piction-web.eas.iu.edu/piction/ump.di?e=24623B429836B4E6FBD21D803504711490864A436A13C14332238F39C0A46C55&s=21&se=1335942602&v=1&f=xx62.174_o4.jpg,William Lowe Bryan纪念馆，印第安纳大学Eskenazi艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=62.174,印第安纳博物馆
26887,有盖的小罐子,nan,206 BCE–220 CE,nan,William Lowe Bryan纪念馆，印第安纳大学Eskenazi艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=62.175,印第安纳博物馆
26888,守护者站在恶魔身上,nan,7-10世纪,https://piction-web.eas.iu.edu/piction/ump.di?e=F6B58D384F5B58F96886A39A3D039965F9C6577CD9F7052AB22C84A743C8BED9&s=21&se=1335942602&v=1&f=xx62.7_o4.jpg,印第安纳大学埃斯肯纳兹艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=62.7,印第安纳博物馆
26889,石碑,nan,1368–1644,nan,印第安纳大学埃斯肯纳兹艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=64.47,印第安纳博物馆
26890,牡丹花花瓶,nan,11世纪晚期至12世纪,https://piction-web.eas.iu.edu/piction/ump.di?e=AC463D7C8217975F0483DBD317E79149709DC3F9B1C5B4F3CF4F16E9ECC5367B&s=21&se=201777714&v=1&f=xx65.27_o4.jpg,印第安纳大学埃斯肯纳兹艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=65.27,印第安纳博物馆
26891,波浪和花朵设计的碗,nan,12-13世纪,https://piction-web.eas.iu.edu/piction/ump.di?e=966BBC3717931B39DEFF230AE81539A2B0B5D32CA79DF9095E1F50080FAB0F0D&s=21&se=1730278608&v=1&f=xx65.28_o4.jpg,印第安纳大学埃斯肯纳兹艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=65.28,印第安纳博物馆
26892,青瓷花碗,nan,960–1279,https://piction-web.eas.iu.edu/piction/ump.di?e=A85EF3D7F1B75C18342183EBBDB7B9F3D023AF8C4781E17F87B3440E74F59C34&s=21&se=1730278608&v=1&f=xx66.2_o4.jpg,印第安纳大学埃斯肯纳兹艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=66.2,印第安纳博物馆
26893,鱼纹鼎盘,nan,十二世纪,https://piction-web.eas.iu.edu/piction/ump.di?e=86F6D5B3393819C3BFEC7FADBF1BB1CE9B3E1D4F734A0A212B069254107FA715&s=21&se=1730278608&v=1&f=xx66.4_o4.jpg,印第安纳大学埃斯肯纳兹艺术博物馆,,印第安纳博物馆
26894,镂空青瓷碗,nan,十二世纪,https://piction-web.eas.iu.edu/piction/ump.di?e=DA350D528837CB887384678D883C5AC6D0269298306E2C2A9C8FF2B2DF86B5B9&s=21&se=1730278608&v=1&f=xx66.6_o4.jpg,印第安纳大学埃斯肯纳兹艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=66.6,印第安纳博物馆
26895,带光环的观音像（观音）,nan,560–580,nan,Raymond Wielgus的礼物，印第安纳大学Eskenazi艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=66.73,印第安纳博物馆
26896,烤箱模型,nan,206 BCE–220 CE,https://piction-web.eas.iu.edu/piction/ump.di?e=CFA555539107448814117DE1C7C0578DF1B89D8A543CE2A3407767CF85E66114&s=21&se=1730278608&v=1&f=xx75.16.2_o4.jpg,印第安纳大学埃斯肯纳兹艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=75.16.2,印第安纳博物馆
26897,龙头柄花瓶,nan,618–906,https://piction-web.eas.iu.edu/piction/ump.di?e=CD265ABD3B7BE7903895032646EFD8C1CC27561D9B07AD46B3623A6CA0580F2A&s=21&se=1730278608&v=1&f=xx75.16.3_o4.jpg,印第安纳大学埃斯肯纳兹艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=75.16.3,印第安纳博物馆
26898,简器“兔皮”茶碗,nan,十二世纪,https://piction-web.eas.iu.edu/piction/ump.di?e=2306EEA8CEE4D0DA9EC2CEB1C452BD76B3C5E144E744A7C4D5F1BC36930E9509&s=21&se=1730278608&v=1&f=xx75.16.9_o4.jpg,印第安纳大学埃斯肯纳兹艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=75.16.9,印第安纳博物馆
26899,站立女服务员,nan,206 BCE–220 CE,https://piction-web.eas.iu.edu/piction/ump.di?e=BEA191BF4A9E6E93A9156E4E8BF44D87420F0BE675448A30D771F6FAFFD063CD&s=21&se=1730278608&v=1&f=xx77.51_o4.jpg,印第安纳大学埃斯肯纳兹艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=77.51,印第安纳博物馆
26900,刺绣碎片,nan,未知的,nan,格洛丽亚·米德尔多夫纪念乌尔里希·米德尔多夫的礼物，印第安纳大学埃斯肯纳兹艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=87.26.1.993,印第安纳博物馆
26901,室内与家庭聚会,中文学校,十九世纪,https://piction-web.eas.iu.edu/piction/ump.di?e=ADBF0E7E02BB5E0D2665A72F6DABA2A6D4F90895167067A5200AA60F6AE1BB71&s=21&se=1316871514&v=1&f=xx98.108_o4.jpg,莫顿和玛丽·布拉德利纪念收藏，印第安纳大学埃斯肯纳兹艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=98.108,印第安纳博物馆
26902,室内与一家人用餐,中文学校,十九世纪,https://piction-web.eas.iu.edu/piction/ump.di?e=D61E56A0328E61DF2D703EB1CA9482AD5026D623BF6F0DB75592ED353F932EFC&s=21&se=1316871514&v=1&f=xx98.125_o4.jpg,莫顿和玛丽·布拉德利纪念收藏，印第安纳大学埃斯肯纳兹艺术博物馆,https://artmuseum.indiana.edu/collections-online/browse/object.php?number=98.125,印第安纳博物馆
